Java,Clean_Java
"public synchronized StringBuffer insert(int index, char[] chars) {insert0(index, chars);return this;}",public synchronized StringBuffer insertint index char chars insert0index charsreturn this
"public void decode(byte[] blocks, int blocksOffset, long[] values, int valuesOffset, int iterations) {for (int i = 0; i < iterations; ++i) {final long byte0 = blocks[blocksOffset++] & 0xFF;final long byte1 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = (byte0 << 2) | (byte1 >>> 6);final long byte2 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte1 & 63) << 4) | (byte2 >>> 4);final long byte3 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte2 & 15) << 6) | (byte3 >>> 2);final long byte4 = blocks[blocksOffset++] & 0xFF;values[valuesOffset++] = ((byte3 & 3) << 8) | byte4;}}",public void decodebyte blocks int blocksOffset long values int valuesOffset int iterations for int i  0 i  iterations i final long byte0  blocksblocksOffset  0xFFfinal long byte1  blocksblocksOffset  0xFFvaluesvaluesOffset  byte0  2  byte1  6final long byte2  blocksblocksOffset  0xFFvaluesvaluesOffset  byte1  63  4  byte2  4final long byte3  blocksblocksOffset  0xFFvaluesvaluesOffset  byte2  15  6  byte3  2final long byte4  blocksblocksOffset  0xFFvaluesvaluesOffset  byte3  3  8  byte4
"public GetSearchRequest() {super(""cr"", ""2016-06-07"", ""GetSearch"", ""cr"");setUriPattern(""/search-delete"");setMethod(MethodType.GET);}",public GetSearchRequest supercr 20160607 GetSearch crsetUriPatternsearchdeletesetMethodMethodTypeGET
"public void consume() {boolean skipEofCheck;if (p >= 0) {if (fetchedEOF) {skipEofCheck = p < tokens.size() - 1;}else {skipEofCheck = p < tokens.size();}}else {skipEofCheck = false;}if (!skipEofCheck && LA(1) == EOF) {throw new IllegalStateException(""cannot consume EOF"");}if (sync(p + 1)) {p = adjustSeekIndex(p + 1);}}",public void consume boolean skipEofCheckif p  0 if fetchedEOF skipEofCheck  p  tokenssize  1else skipEofCheck  p  tokenssizeelse skipEofCheck  falseif skipEofCheck  LA1  EOF throw new IllegalStateExceptioncannot consume EOFif syncp  1 p  adjustSeekIndexp  1
"public CharBlockArray append(String s) {int remain = s.length();int offset = 0;while (remain > 0) {if (this.current.length == this.blockSize) {addBlock();}int toCopy = remain;int remainingInBlock = this.blockSize - this.current.length;if (remainingInBlock < toCopy) {toCopy = remainingInBlock;}s.getChars(offset, offset + toCopy, this.current.chars, this.current.length);offset += toCopy;remain -= toCopy;this.current.length += toCopy;}this.length += s.length();return this;}",public CharBlockArray appendString s int remain  slengthint offset  0while remain  0 if thiscurrentlength  thisblockSize addBlockint toCopy  remainint remainingInBlock  thisblockSize  thiscurrentlengthif remainingInBlock  toCopy toCopy  remainingInBlocksgetCharsoffset offset  toCopy thiscurrentchars thiscurrentlengthoffset  toCopyremain  toCopythiscurrentlength  toCopythislength  slengthreturn this
public ConfigureHealthCheckResult configureHealthCheck(ConfigureHealthCheckRequest request) {request = beforeClientExecution(request);return executeConfigureHealthCheck(request);},public ConfigureHealthCheckResult configureHealthCheckConfigureHealthCheckRequest request request  beforeClientExecutionrequestreturn executeConfigureHealthCheckrequest
public CommonRoaRequest(String product) {super(product);setSysAcceptFormat(FormatType.JSON);},public CommonRoaRequestString product superproductsetSysAcceptFormatFormatTypeJSON
"public static int strlen(char[] a) {return strlen(a, 0);}",public static int strlenchar a return strlena 0
"public void setReaderValue(Reader value) {if (!(fieldsData instanceof Reader)) {throw new IllegalArgumentException(""cannot change value type from "" + fieldsData.getClass().getSimpleName() + "" to Reader"");}fieldsData = value;}",public void setReaderValueReader value if fieldsData instanceof Reader throw new IllegalArgumentExceptioncannot change value type from   fieldsDatagetClassgetSimpleName   to ReaderfieldsData  value
public DeleteUsagePlanResult deleteUsagePlan(DeleteUsagePlanRequest request) {request = beforeClientExecution(request);return executeDeleteUsagePlan(request);},public DeleteUsagePlanResult deleteUsagePlanDeleteUsagePlanRequest request request  beforeClientExecutionrequestreturn executeDeleteUsagePlanrequest
public DeleteThreatIntelSetResult deleteThreatIntelSet(DeleteThreatIntelSetRequest request) {request = beforeClientExecution(request);return executeDeleteThreatIntelSet(request);},public DeleteThreatIntelSetResult deleteThreatIntelSetDeleteThreatIntelSetRequest request request  beforeClientExecutionrequestreturn executeDeleteThreatIntelSetrequest
public DescribePlacementGroupsResult describePlacementGroups(DescribePlacementGroupsRequest request) {request = beforeClientExecution(request);return executeDescribePlacementGroups(request);},public DescribePlacementGroupsResult describePlacementGroupsDescribePlacementGroupsRequest request request  beforeClientExecutionrequestreturn executeDescribePlacementGroupsrequest
public EnableAddOnResult enableAddOn(EnableAddOnRequest request) {request = beforeClientExecution(request);return executeEnableAddOn(request);},public EnableAddOnResult enableAddOnEnableAddOnRequest request request  beforeClientExecutionrequestreturn executeEnableAddOnrequest
public TreeFilter clone() {final TreeFilter[] s = new TreeFilter[subfilters.length];for (int i = 0; i < s.length; i++)s[i] = subfilters[i].clone();return new List(s);},public TreeFilter clone final TreeFilter s  new TreeFiltersubfilterslengthfor int i  0 i  slength isi  subfiltersiclonereturn new Lists
public ListTagsForResourceOutput listTagsForResource(ListTagsForResourceRequest request) {request = beforeClientExecution(request);return executeListTagsForResource(request);},public ListTagsForResourceOutput listTagsForResourceListTagsForResourceRequest request request  beforeClientExecutionrequestreturn executeListTagsForResourcerequest
public WeightedSpanTerm getWeightedSpanTerm(String token) {return fieldWeightedSpanTerms.get(token);},public WeightedSpanTerm getWeightedSpanTermString token return fieldWeightedSpanTermsgettoken
public Slope() {func = new LinearRegressionFunction(FUNCTION.SLOPE);},public Slope func  new LinearRegressionFunctionFUNCTIONSLOPE
public String toStringUnquoted() {return getTruncated();},public String toStringUnquoted return getTruncated
public UpdateSubnetGroupResult updateSubnetGroup(UpdateSubnetGroupRequest request) {request = beforeClientExecution(request);return executeUpdateSubnetGroup(request);},public UpdateSubnetGroupResult updateSubnetGroupUpdateSubnetGroupRequest request request  beforeClientExecutionrequestreturn executeUpdateSubnetGrouprequest
public void remove(int index) {checkIndex(index);_cfHeaders.remove(index);},public void removeint index checkIndexindexcfHeadersremoveindex
"public static long pop_intersect(long[] arr1, long[] arr2, int wordOffset, int numWords) {long popCount = 0;for (int i = wordOffset, end = wordOffset + numWords; i < end; ++i) {popCount += Long.bitCount(arr1[i] & arr2[i]);}return popCount;}",public static long popintersectlong arr1 long arr2 int wordOffset int numWords long popCount  0for int i  wordOffset end  wordOffset  numWords i  end i popCount  LongbitCountarr1i  arr2ireturn popCount
public boolean shouldBeRecursive() {return true;},public boolean shouldBeRecursive return true
"public JapaneseBaseFormFilterFactory(Map<String,String> args) {super(args);if (!args.isEmpty()) {throw new IllegalArgumentException(""Unknown parameters: "" + args);}}",public JapaneseBaseFormFilterFactoryMapStringString args superargsif argsisEmpty throw new IllegalArgumentExceptionUnknown parameters   args
public void visitContainedRecords(RecordVisitor rv) {rv.visitRecord(header);for (CFRuleBase rule : rules) {rv.visitRecord(rule);}},public void visitContainedRecordsRecordVisitor rv rvvisitRecordheaderfor CFRuleBase rule  rules rvvisitRecordrule
"public void dumpDrawingGroupRecords(boolean fat) {DrawingGroupRecord r = (DrawingGroupRecord) workbook.findFirstRecordBySid( DrawingGroupRecord.sid );if (r == null) {return;}r.decode();List<EscherRecord> escherRecords = r.getEscherRecords();PrintWriter w = new PrintWriter(new OutputStreamWriter(System.out, Charset.defaultCharset()));for (EscherRecord escherRecord : escherRecords) {if (fat) {System.out.println(escherRecord);} else {escherRecord.display(w, 0);}}w.flush();}",public void dumpDrawingGroupRecordsboolean fat DrawingGroupRecord r  DrawingGroupRecord workbookfindFirstRecordBySid DrawingGroupRecordsid if r  null returnrdecodeListEscherRecord escherRecords  rgetEscherRecordsPrintWriter w  new PrintWriternew OutputStreamWriterSystemout CharsetdefaultCharsetfor EscherRecord escherRecord  escherRecords if fat SystemoutprintlnescherRecord else escherRecorddisplayw 0wflush
public int getLinesDeleted() {return nDeleted;},public int getLinesDeleted return nDeleted
"public String toString() {StringBuilder sb = new StringBuilder(64);sb.append(getClass().getName()).append("" ["");sb.append(_offset).append(""..."").append(getLastIndex());sb.append(""]"");return sb.toString();}",public String toString StringBuilder sb  new StringBuilder64sbappendgetClassgetNameappend sbappendoffsetappendappendgetLastIndexsbappendreturn sbtoString
"public int[] compact() {assert bytesStart != null : ""bytesStart is null - not initialized"";int upto = 0;for (int i = 0; i < hashSize; i++) {if (ids[i] != -1) {if (upto < i) {ids[upto] = ids[i];ids[i] = -1;}upto++;}}assert upto == count;lastCount = count;return ids;}",public int compact assert bytesStart  null  bytesStart is null  not initializedint upto  0for int i  0 i  hashSize i if idsi  1 if upto  i idsupto  idsiidsi  1uptoassert upto  countlastCount  countreturn ids
"public AccessKey(String userName, String accessKeyId, StatusType status, String secretAccessKey) {setUserName(userName);setAccessKeyId(accessKeyId);setStatus(status.toString());setSecretAccessKey(secretAccessKey);}",public AccessKeyString userName String accessKeyId StatusType status String secretAccessKey setUserNameuserNamesetAccessKeyIdaccessKeyIdsetStatusstatustoStringsetSecretAccessKeysecretAccessKey
public GetDomainResult getDomain(GetDomainRequest request) {request = beforeClientExecution(request);return executeGetDomain(request);},public GetDomainResult getDomainGetDomainRequest request request  beforeClientExecutionrequestreturn executeGetDomainrequest
public ListTypeRegistrationsResult listTypeRegistrations(ListTypeRegistrationsRequest request) {request = beforeClientExecution(request);return executeListTypeRegistrations(request);},public ListTypeRegistrationsResult listTypeRegistrationsListTypeRegistrationsRequest request request  beforeClientExecutionrequestreturn executeListTypeRegistrationsrequest
public boolean isSymbolic() {return false;},public boolean isSymbolic return false
public DeleteTableRequest(String tableName) {setTableName(tableName);},public DeleteTableRequestString tableName setTableNametableName
public UpdateAccountSettingsResult updateAccountSettings(UpdateAccountSettingsRequest request) {request = beforeClientExecution(request);return executeUpdateAccountSettings(request);},public UpdateAccountSettingsResult updateAccountSettingsUpdateAccountSettingsRequest request request  beforeClientExecutionrequestreturn executeUpdateAccountSettingsrequest
public SearcherTracker(IndexSearcher searcher) {this.searcher = searcher;version = ((DirectoryReader) searcher.getIndexReader()).getVersion();searcher.getIndexReader().incRef();recordTimeSec = System.nanoTime() / NANOS_PER_SEC;},public SearcherTrackerIndexSearcher searcher thissearcher  searcherversion  DirectoryReader searchergetIndexReadergetVersionsearchergetIndexReaderincRefrecordTimeSec  SystemnanoTime  NANOSPERSEC
"public Principal(String accountId) {this(""AWS"", accountId);if (accountId == null) {throw new IllegalArgumentException(""Null AWS account ID specified"");}}",public PrincipalString accountId thisAWS accountIdif accountId  null throw new IllegalArgumentExceptionNull AWS account ID specified
public V setValue(V object) {V result = value;value = object;return result;},public V setValueV object V result  valuevalue  objectreturn result
"public ListMomentPhotosRequest() {super(""CloudPhoto"", ""2017-07-11"", ""ListMomentPhotos"", ""cloudphoto"");setProtocol(ProtocolType.HTTPS);}",public ListMomentPhotosRequest superCloudPhoto 20170711 ListMomentPhotos cloudphotosetProtocolProtocolTypeHTTPS
public boolean contains(Object o) {return map.containsKey(o);},public boolean containsObject o return mapcontainsKeyo
"public LinearOffsetRange(int offset, int length) {if(length == 0) {throw new RuntimeException(""length may not be zero"");}_offset = offset;_length = length;}",public LinearOffsetRangeint offset int length iflength  0 throw new RuntimeExceptionlength may not be zerooffset  offsetlength  length
public ListPipelinesResult listPipelines() {return listPipelines(new ListPipelinesRequest());},public ListPipelinesResult listPipelines return listPipelinesnew ListPipelinesRequest
"public static boolean indexExists(Directory directory) throws IOException {String[] files = directory.listAll();String prefix = IndexFileNames.SEGMENTS + ""_"";for(String file : files) {if (file.startsWith(prefix)) {return true;}}return false;}",public static boolean indexExistsDirectory directory throws IOException String files  directorylistAllString prefix  IndexFileNamesSEGMENTS  forString file  files if filestartsWithprefix return truereturn false
public DisassociateFromMasterAccountResult disassociateFromMasterAccount(DisassociateFromMasterAccountRequest request) {request = beforeClientExecution(request);return executeDisassociateFromMasterAccount(request);},public DisassociateFromMasterAccountResult disassociateFromMasterAccountDisassociateFromMasterAccountRequest request request  beforeClientExecutionrequestreturn executeDisassociateFromMasterAccountrequest
public GetVoiceTemplateResult getVoiceTemplate(GetVoiceTemplateRequest request) {request = beforeClientExecution(request);return executeGetVoiceTemplate(request);},public GetVoiceTemplateResult getVoiceTemplateGetVoiceTemplateRequest request request  beforeClientExecutionrequestreturn executeGetVoiceTemplaterequest
public long ramBytesUsed() {return RamUsageEstimator.sizeOf(filter.getBits());},public long ramBytesUsed return RamUsageEstimatorsizeOffiltergetBits
public RejectInvitationResult rejectInvitation(RejectInvitationRequest request) {request = beforeClientExecution(request);return executeRejectInvitation(request);},public RejectInvitationResult rejectInvitationRejectInvitationRequest request request  beforeClientExecutionrequestreturn executeRejectInvitationrequest
public RejectQualificationRequestResult rejectQualificationRequest(RejectQualificationRequestRequest request) {request = beforeClientExecution(request);return executeRejectQualificationRequest(request);},public RejectQualificationRequestResult rejectQualificationRequestRejectQualificationRequestRequest request request  beforeClientExecutionrequestreturn executeRejectQualificationRequestrequest
public final long[] array() {return protectedArray();},public final long array return protectedArray
public void writeChars(String value) throws IOException {checkWritePrimitiveTypes();primitiveTypes.writeChars(value);},public void writeCharsString value throws IOException checkWritePrimitiveTypesprimitiveTypeswriteCharsvalue
"public void finish(FieldInfos fis, int numDocs) throws IOException {if (numDocsWritten != numDocs) {throw new RuntimeException(""mergeVectors produced an invalid result: mergedDocs is "" + numDocs + "" but vec numDocs is "" + numDocsWritten + "" file="" + out.toString() + ""; now aborting this merge to prevent index corruption"");}write(END);newLine();SimpleTextUtil.writeChecksum(out, scratch);}",public void finishFieldInfos fis int numDocs throws IOException if numDocsWritten  numDocs throw new RuntimeExceptionmergeVectors produced an invalid result mergedDocs is   numDocs   but vec numDocs is   numDocsWritten   file  outtoString   now aborting this merge to prevent index corruptionwriteENDnewLineSimpleTextUtilwriteChecksumout scratch
"public void readBytes(byte[] b, int offset, int len) throws IOException {while (len > 0) {final int cnt = is.read(b, offset, len);if (cnt < 0) {throw new EOFException();}len -= cnt;offset += cnt;}}",public void readBytesbyte b int offset int len throws IOException while len  0 final int cnt  isreadb offset lenif cnt  0 throw new EOFExceptionlen  cntoffset  cnt
"public long ramBytesUsed() {long ramBytesUsed = BASE_RAM_BYTES_USED;ramBytesUsed += fields.size() * 2L * RamUsageEstimator.NUM_BYTES_OBJECT_REF;ramBytesUsed += formats.size() * 2L * RamUsageEstimator.NUM_BYTES_OBJECT_REF;for(Map.Entry<String,FieldsProducer> entry: formats.entrySet()) {ramBytesUsed += entry.getValue().ramBytesUsed();}return ramBytesUsed;}",public long ramBytesUsed long ramBytesUsed  BASERAMBYTESUSEDramBytesUsed  fieldssize  2L  RamUsageEstimatorNUMBYTESOBJECTREFramBytesUsed  formatssize  2L  RamUsageEstimatorNUMBYTESOBJECTREFforMapEntryStringFieldsProducer entry formatsentrySet ramBytesUsed  entrygetValueramBytesUsedreturn ramBytesUsed
public boolean equals(Object obj) {if (this == obj) return true;if (null == obj || getClass() != obj.getClass()) return false;JaroWinklerDistance o = (JaroWinklerDistance)obj;return (Float.floatToIntBits(o.threshold)== Float.floatToIntBits(this.threshold));},public boolean equalsObject obj if this  obj return trueif null  obj  getClass  objgetClass return falseJaroWinklerDistance o  JaroWinklerDistanceobjreturn FloatfloatToIntBitsothreshold FloatfloatToIntBitsthisthreshold
public BatchRefUpdate addCommand(ReceiveCommand... cmd) {return addCommand(Arrays.asList(cmd));},public BatchRefUpdate addCommandReceiveCommand cmd return addCommandArraysasListcmd
"public void write(byte[] buf, int off, int len) throws IOException {try {beginWrite();dst.write(buf, off, len);} catch (InterruptedIOException e) {throw writeTimedOut(e);} finally {endWrite();}}",public void writebyte buf int off int len throws IOException try beginWritedstwritebuf off len catch InterruptedIOException e throw writeTimedOute finally endWrite
public DeregisterGameServerResult deregisterGameServer(DeregisterGameServerRequest request) {request = beforeClientExecution(request);return executeDeregisterGameServer(request);},public DeregisterGameServerResult deregisterGameServerDeregisterGameServerRequest request request  beforeClientExecutionrequestreturn executeDeregisterGameServerrequest
public void write(byte[] b) {try {super.write(b);} catch (IOException e) {throw new RuntimeException(e);}},public void writebyte b try superwriteb catch IOException e throw new RuntimeExceptione
"public boolean matches(int symbol, int minVocabSymbol, int maxVocabSymbol) {return symbol >= from && symbol <= to;}",public boolean matchesint symbol int minVocabSymbol int maxVocabSymbol return symbol  from  symbol  to
"public void finish(FieldInfos fis, int numDocs) throws IOException {if (numBufferedDocs > 0) {flush();numDirtyChunks++; } else {assert bufferedDocs.size() == 0;}if (docBase != numDocs) {throw new RuntimeException(""Wrote "" + docBase + "" docs, finish called with numDocs="" + numDocs);}indexWriter.finish(numDocs, fieldsStream.getFilePointer());fieldsStream.writeVLong(numChunks);fieldsStream.writeVLong(numDirtyChunks);CodecUtil.writeFooter(fieldsStream);assert bufferedDocs.size() == 0;}",public void finishFieldInfos fis int numDocs throws IOException if numBufferedDocs  0 flushnumDirtyChunks  else assert bufferedDocssize  0if docBase  numDocs throw new RuntimeExceptionWrote   docBase   docs finish called with numDocs  numDocsindexWriterfinishnumDocs fieldsStreamgetFilePointerfieldsStreamwriteVLongnumChunksfieldsStreamwriteVLongnumDirtyChunksCodecUtilwriteFooterfieldsStreamassert bufferedDocssize  0
public Iterator<String> iterator() {final Iterator<String> i = names.values().iterator();return new Iterator<String>();},public IteratorString iterator final IteratorString i  namesvaluesiteratorreturn new IteratorString
"public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[DEFAULTCOLWIDTH]\n"");buffer.append(""    .colwidth      = "").append(Integer.toHexString(getColWidth())).append(""\n"");buffer.append(""[/DEFAULTCOLWIDTH]\n"");return buffer.toString();}",public String toStringStringBuilder buffer  new StringBuilderbufferappendDEFAULTCOLWIDTHnbufferappend    colwidth       appendIntegertoHexStringgetColWidthappendnbufferappendDEFAULTCOLWIDTHnreturn buffertoString
public DataValidityTable(RecordStream rs) {_headerRec = (DVALRecord) rs.getNext();List<DVRecord> temp = new ArrayList<>();while (rs.peekNextClass() == DVRecord.class) {temp.add((DVRecord) rs.getNext());}_validationList = temp;},public DataValidityTableRecordStream rs headerRec  DVALRecord rsgetNextListDVRecord temp  new ArrayListwhile rspeekNextClass  DVRecordclass tempaddDVRecord rsgetNextvalidationList  temp
public DeleteRoomMembershipResult deleteRoomMembership(DeleteRoomMembershipRequest request) {request = beforeClientExecution(request);return executeDeleteRoomMembership(request);},public DeleteRoomMembershipResult deleteRoomMembershipDeleteRoomMembershipRequest request request  beforeClientExecutionrequestreturn executeDeleteRoomMembershiprequest
"public QueryParserTokenManager(CharStream stream, int lexState){this(stream);SwitchTo(lexState);}",public QueryParserTokenManagerCharStream stream int lexStatethisstreamSwitchTolexState
public RebootDBInstanceRequest(String dBInstanceIdentifier) {setDBInstanceIdentifier(dBInstanceIdentifier);},public RebootDBInstanceRequestString dBInstanceIdentifier setDBInstanceIdentifierdBInstanceIdentifier
public CreateAutoScalingGroupResult createAutoScalingGroup(CreateAutoScalingGroupRequest request) {request = beforeClientExecution(request);return executeCreateAutoScalingGroup(request);},public CreateAutoScalingGroupResult createAutoScalingGroupCreateAutoScalingGroupRequest request request  beforeClientExecutionrequestreturn executeCreateAutoScalingGrouprequest
"public K floorKey(K key) {Entry<K, V> entry = findBounded(key, FLOOR);return entry != null ? entry.getKey() : null;}",public K floorKeyK key EntryK V entry  findBoundedkey FLOORreturn entry  null  entrygetKey  null
"public boolean include(RevWalk walker, RevCommit c) {return true;}",public boolean includeRevWalk walker RevCommit c return true
public boolean isValidating() {return getFeature (XmlPullParser.FEATURE_VALIDATION);},public boolean isValidating return getFeature XmlPullParserFEATUREVALIDATION
public synchronized void write(int oneByte) {if (out == null) {setError();return;}try {out.write(oneByte);int b = oneByte & 0xFF;boolean isNewline = b == 0x0A || b == 0x15;if (autoFlush && isNewline) {flush();}} catch (IOException e) {setError();}},public synchronized void writeint oneByte if out  null setErrorreturntry outwriteoneByteint b  oneByte  0xFFboolean isNewline  b  0x0A  b  0x15if autoFlush  isNewline flush catch IOException e setError
public UpdateScalingParametersResult updateScalingParameters(UpdateScalingParametersRequest request) {request = beforeClientExecution(request);return executeUpdateScalingParameters(request);},public UpdateScalingParametersResult updateScalingParametersUpdateScalingParametersRequest request request  beforeClientExecutionrequestreturn executeUpdateScalingParametersrequest
public ModifyDBClusterParameterGroupResult modifyDBClusterParameterGroup(ModifyDBClusterParameterGroupRequest request) {request = beforeClientExecution(request);return executeModifyDBClusterParameterGroup(request);},public ModifyDBClusterParameterGroupResult modifyDBClusterParameterGroupModifyDBClusterParameterGroupRequest request request  beforeClientExecutionrequestreturn executeModifyDBClusterParameterGrouprequest
public GetOperationsForResourceResult getOperationsForResource(GetOperationsForResourceRequest request) {request = beforeClientExecution(request);return executeGetOperationsForResource(request);},public GetOperationsForResourceResult getOperationsForResourceGetOperationsForResourceRequest request request  beforeClientExecutionrequestreturn executeGetOperationsForResourcerequest
public NLPTokenizerOp(TokenizerModel model) {tokenizer = new TokenizerME(model);},public NLPTokenizerOpTokenizerModel model tokenizer  new TokenizerMEmodel
"public StartImageScanRequest() {super(""cr"", ""2016-06-07"", ""StartImageScan"", ""cr"");setUriPattern(""/repos/[RepoNamespace]/[RepoName]/tags/[Tag]/scan"");setMethod(MethodType.PUT);}",public StartImageScanRequest supercr 20160607 StartImageScan crsetUriPatternreposRepoNamespaceRepoNametagsTagscansetMethodMethodTypePUT
public UpdateFleetResult updateFleet(UpdateFleetRequest request) {request = beforeClientExecution(request);return executeUpdateFleet(request);},public UpdateFleetResult updateFleetUpdateFleetRequest request request  beforeClientExecutionrequestreturn executeUpdateFleetrequest
"public Editable newEditable(CharSequence source) {return new CalculatorEditable(source, mLogic);}",public Editable newEditableCharSequence source return new CalculatorEditablesource mLogic
public static TreeFilter createFromStrings(String... paths) {if (paths.length == 0)throw new IllegalArgumentException(JGitText.get().atLeastOnePathIsRequired);final int length = paths.length;final PathFilter[] p = new PathFilter[length];for (int i = 0; i < length; i++)p[i] = PathFilter.create(paths[i]);return create(p);},public static TreeFilter createFromStringsString paths if pathslength  0throw new IllegalArgumentExceptionJGitTextgetatLeastOnePathIsRequiredfinal int length  pathslengthfinal PathFilter p  new PathFilterlengthfor int i  0 i  length ipi  PathFiltercreatepathsireturn createp
public DescribeHostedConnectionsResult describeHostedConnections(DescribeHostedConnectionsRequest request) {request = beforeClientExecution(request);return executeDescribeHostedConnections(request);},public DescribeHostedConnectionsResult describeHostedConnectionsDescribeHostedConnectionsRequest request request  beforeClientExecutionrequestreturn executeDescribeHostedConnectionsrequest
public RejectTransitGatewayPeeringAttachmentResult rejectTransitGatewayPeeringAttachment(RejectTransitGatewayPeeringAttachmentRequest request) {request = beforeClientExecution(request);return executeRejectTransitGatewayPeeringAttachment(request);},public RejectTransitGatewayPeeringAttachmentResult rejectTransitGatewayPeeringAttachmentRejectTransitGatewayPeeringAttachmentRequest request request  beforeClientExecutionrequestreturn executeRejectTransitGatewayPeeringAttachmentrequest
public static double toPoints(long emu){return (double)emu/EMU_PER_POINT;},public static double toPointslong emureturn doubleemuEMUPERPOINT
"public ValueEval evaluate(int srcRowIndex, int srcColumnIndex, ValueEval arg0, ValueEval arg1) {return arg1;}",public ValueEval evaluateint srcRowIndex int srcColumnIndex ValueEval arg0 ValueEval arg1 return arg1
public final BytesRef getBinaryValue(String name) {for (IndexableField field : fields) {if (field.name().equals(name)) {final BytesRef bytes = field.binaryValue();if (bytes != null) {return bytes;}}}return null;},public final BytesRef getBinaryValueString name for IndexableField field  fields if fieldnameequalsname final BytesRef bytes  fieldbinaryValueif bytes  null return bytesreturn null
public CRNBlock(RecordStream rs) {_countRecord = (CRNCountRecord) rs.getNext();int nCRNs = _countRecord.getNumberOfCRNs();CRNRecord[] crns = new CRNRecord[nCRNs];for (int i = 0; i < crns.length; i++) {crns[i] = (CRNRecord) rs.getNext();}_crns = crns;},public CRNBlockRecordStream rs countRecord  CRNCountRecord rsgetNextint nCRNs  countRecordgetNumberOfCRNsCRNRecord crns  new CRNRecordnCRNsfor int i  0 i  crnslength i crnsi  CRNRecord rsgetNextcrns  crns
"public int get(int index, long[] arr, int off, int len) {return current.get(index, arr, off, len);}",public int getint index long arr int off int len return currentgetindex arr off len
public LooseRef peel(ObjectIdRef newLeaf) {return this;},public LooseRef peelObjectIdRef newLeaf return this
public UpdateModelVersionResult updateModelVersion(UpdateModelVersionRequest request) {request = beforeClientExecution(request);return executeUpdateModelVersion(request);},public UpdateModelVersionResult updateModelVersionUpdateModelVersionRequest request request  beforeClientExecutionrequestreturn executeUpdateModelVersionrequest
"public Builder() {PositiveIntOutputs outputs = PositiveIntOutputs.getSingleton();fstCompiler = new FSTCompiler<>(FST.INPUT_TYPE.BYTE1, outputs);scratchInts = new IntsRefBuilder();}",public Builder PositiveIntOutputs outputs  PositiveIntOutputsgetSingletonfstCompiler  new FSTCompilerFSTINPUTTYPEBYTE1 outputsscratchInts  new IntsRefBuilder
public boolean stem() {int v_1 = cursor;r_mark_regions();cursor = v_1;limit_backward = cursor;cursor = limit;int v_2 = limit - cursor;r_main_suffix();cursor = limit - v_2;int v_3 = limit - cursor;r_consonant_pair();cursor = limit - v_3;int v_4 = limit - cursor;r_other_suffix();cursor = limit - v_4;cursor = limit_backward;return true;},public boolean stem int v1  cursorrmarkregionscursor  v1limitbackward  cursorcursor  limitint v2  limit  cursorrmainsuffixcursor  limit  v2int v3  limit  cursorrconsonantpaircursor  limit  v3int v4  limit  cursorrothersuffixcursor  limit  v4cursor  limitbackwardreturn true
public int describeContents() {return 0;},public int describeContents return 0
"public FetchConnection openFetch() throws TransportException {if (src == null)throw new TransportException(uri, JGitText.get().onlyOneFetchSupported);try {return new BundleFetchConnection(this, src);} finally {src = null;}}",public FetchConnection openFetch throws TransportException if src  nullthrow new TransportExceptionuri JGitTextgetonlyOneFetchSupportedtry return new BundleFetchConnectionthis src finally src  null
public DeleteWorkGroupResult deleteWorkGroup(DeleteWorkGroupRequest request) {request = beforeClientExecution(request);return executeDeleteWorkGroup(request);},public DeleteWorkGroupResult deleteWorkGroupDeleteWorkGroupRequest request request  beforeClientExecutionrequestreturn executeDeleteWorkGrouprequest
public GetApiResult getApi(GetApiRequest request) {request = beforeClientExecution(request);return executeGetApi(request);},public GetApiResult getApiGetApiRequest request request  beforeClientExecutionrequestreturn executeGetApirequest
"public LongBuffer slice() {return new ReadOnlyLongArrayBuffer(remaining(), backingArray, offset + position);}",public LongBuffer slice return new ReadOnlyLongArrayBufferremaining backingArray offset  position
"public String toString() {String opName = getClass().getName();int index = opName.indexOf('$');opName = opName.substring(index+1, opName.length());return ""<""+opName+""@""+tokens.get(index)+"":\""""+text+""\"">"";}",public String toString String opName  getClassgetNameint index  opNameindexOfopName  opNamesubstringindex1 opNamelengthreturn opNametokensgetindextext
"public String toString() {return ""Action["" + token + ""]"";}",public String toString return Action  token  
public static EvaluationException invalidRef() {return new EvaluationException(ErrorEval.REF_INVALID);},public static EvaluationException invalidRef return new EvaluationExceptionErrorEvalREFINVALID
public Iterator<Entry> getEntries() {return new FilteringIterator();},public IteratorEntry getEntries return new FilteringIterator
"public String toString() {StringBuilder buffer = new StringBuilder();buffer.append("" [FUTURE HEADER]\n"");buffer.append(""   Type "" + recordType);buffer.append(""   Flags "" + grbitFrt);buffer.append("" [/FUTURE HEADER]\n"");return buffer.toString();}",public String toString StringBuilder buffer  new StringBuilderbufferappend FUTURE HEADERnbufferappend   Type   recordTypebufferappend   Flags   grbitFrtbufferappend FUTURE HEADERnreturn buffertoString
public void copy(MutableValue source) {MutableValueStr s = (MutableValueStr) source;exists = s.exists;value.copyBytes(s.value);},public void copyMutableValue source MutableValueStr s  MutableValueStr sourceexists  sexistsvaluecopyBytessvalue
